id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1157230094048902692,Vintage Beach House - Cousin's Bedroom,562242703,Wanda,MATOSINHOS,Matosinhos e Leça da Palmeira,41.17855429999999,-8.689617799999999,Private room,70,2,0,,,8,348,0,153182/AL
1157233014741969011,OceanBreeze Matosinhos - EcoHost,74323300,Nuno,MATOSINHOS,Matosinhos e Leça da Palmeira,41.1788329,-8.690159099999999,Entire home/apt,109,1,15,2024-09-06,4.59,2,298,15,151052/AL
1157238161990640090,Studio A @Casa do Silva • Balcony • AC,51705179,Augusto,PORTO,Bonfim,41.14581,-8.59898,Entire home/apt,79,3,11,2024-09-03,3.67,2,34,11,133946/AL
1157257497746333900,Vintage Beach House - Aunt's bedroom,562242703,Wanda,MATOSINHOS,Matosinhos e Leça da Palmeira,41.179575963345115,-8.689370146760757,Private room,70,2,0,,,8,342,0,153182/AL
1157280001252070402,Daughter-in-law's bedroom,562242703,Wanda,MATOSINHOS,Matosinhos e Leça da Palmeira,41.178813011063134,-8.688582584521406,Private room,65,2,4,2024-07-07,1.28,8,349,4,153182/AL
1157286839260325593,Primavera 2º Drt,577535235,Sittium,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1444,-8.60555,Entire home/apt,124,2,1,2024-08-10,0.83,5,287,1,144149/AL
1157293062167201025,"Suíte no Bonfim com TV, Frigobar e Sofá",577743536,Patrícia,PORTO,Bonfim,41.15147,-8.59532,Private room,64,2,17,2024-09-05,4.81,12,135,17,133459/AL
1157298413811226657,Fabulous Marquês Apartment by Unique Hosts,444283165,Unique Hosts,PORTO,Paranhos,41.16435506333311,-8.601149512532345,Entire home/apt,138,2,4,2024-08-11,1.48,28,0,4,156119/AL
1157323291664478764,Host Wise - Cozy Modern Flat,12730028,Host Wise,PORTO,Paranhos,41.165386647753024,-8.616327782886993,Entire home/apt,85,1,2,2024-08-29,0.71,316,318,2,155993/AL
1157341963699281074,By the Sea,513128111,Davide Acacio,VILA DO CONDE,Vila Chã,41.3030937120417,-8.737331651079032,Entire home/apt,200,7,0,,,1,331,0,75802/AL
1157348288219784909,Vila Mar w/AC | Vila do Conde,48845943,Carolina,VILA DO CONDE,Vila do Conde,41.373113567832,-8.754799970654117,Entire home/apt,148,3,3,2024-08-26,1.30,6,322,3,151364/AL
