,license,license_cleaned
1825,53193/AL.,53193
1826,nan,
1827,41466/AL,41466
1829,Alojamento local: 38062/AL,38062
1831,nan,
1832,68023/AL,68023
1833,ALV/117/16,117
1835,53503/AL,53503
1838,37326/AL,37326
1839,21643/AL,21643
1840,37697/AL,37697
1841,42455/AL,42455
1842,44727/AL,44727
1843,48805/AL,48805
1844,64679/AL,64679
1845,nan,
1846,58336/AL,58336
1847,53510/AL,53510
1848,55057/AL,55057
1849,37698/AL,37698
1850,57429/AL,57429
1852,62142/AL,62142
1853,45629/AL,45629
1854,nan,
1856,40007/AL,40007
1857,49177/AL,49177
1861,57229/AL,57229
1862,53505/AL,53505
1863,37906/AL,37906
1866,41189/AL,41189
1867,50543/AL,50543
1870,45660/AL,45660
1872,35158/AL,35158
