,license,license_cleaned
9932,10319/AL,10319
9933,121635/AL,121635
9934,128815/AL,128815
9935,129328/AL,129328
9936,129385/AL,129385
9937,nan,
9939,126387/AL,126387
9940,117001/AL,117001
9943,10319/AL,10319
9945,10319/AL,10319
9946,10319/AL,10319
9947,10319/AL,10319
9949,10319/AL,10319
9950,nan,
9951,86243/AL,86243
9952,12345,12345
9955,nan,
9956,nan,
9958,128364/AL,128364
9960,58648/AL,58648
9961,Exempt,
9962,131585/AL,131585
9963,131123/AL,131123
9964,127660/AL,127660
9965,126855/AL,126855
9966,126420/AL,126420
9967,127913/AL,127913
9968,133095/AL,133095
9969,Exempt,
9970,93124/AL,93124
9971,nan,
9972,46228/AL,46228
9973,nan,
9974,130496/AL,130496
9975,131590/AL,131590
9976,130496/AL,130496
9978,130496/AL,130496
9979,130496/AL,130496
9980,127282/AL,127282
9981,130496/AL,130496
9982,130496/AL,130496
9984,132207/AL,132207
9985,132253/AL,132253
9986,131582/AL,131582
9987,130496/AL,130496
9988,130489/AL,130489
9990,101716/AL,101716
9991,129118/AL,129118
9992,12345/AL,12345
9993,nan,
9994,91678/AL,91678
9995,128788/AL,128788
9996,126914/AL,126914
9997,101176,101176
9998,119094/AL,119094
9999,84407/AL,84407
10000,119094/AL,119094
10001,30839/AL,30839
10002,84411/AL,84411
10003,84418/AL,84418
10004,19757/AL,19757
10005,128792/AL,128792
10007,129126/AL,129126
10008,71742/AL,71742
10009,129130/AL,129130
10011,129123/AL,129123
10012,128807/AL,128807
10013,nan,
10015,133664/AL,133664
10020,nan,
10025,128800/AL,128800
10026,126910/AL,126910
10028,129381/AL,129381
10029,108566/AL,108566
10030,55111/AL,55111
10031,32060/AL,32060
10032,129941/AL,129941
10033,126409/AL,126409
10034,108571/AL,108571
10035,108565/AL,108565
10036,108569/AL,108569
10038,108568/AL,108568
10040,108573/AL,108573
10041,126406/AL,126406
10042,108571/AL,108571
10043,126402/AL,126402
10044,99425/AL,99425
10045,127351/AL,127351
10046,5620/AL,5620
10047,Exempt,
10048,5620/AL,5620
10049,127349/AL,127349
10050,126405/AL,126405
10051,126395/AL,126395
10052,109066/AL,109066
10053,38651/AL,38651
10054,54924/AL,54924
10055,121004/AL,121004
10056,126388/AL,126388
10057,33574/AL,33574
10059,Exempt,
10061,Exempt,
10062,Exempt,
10063,125599/AL,125599
10066,128366/AL,128366
10067,108567/AL,108567
10069,108572/AL,108572
10073,127587/AL,127587
10074,131072/AL,131072
10075,133735/AL,133735
10076,Exempt,
10077,120548/AL,120548
10078,67202/AL,67202
10079,129654/AL,129654
10080,120662/AL,120662
10081,125720/AL,125720
10083,21569/AL,21569
10084,120969/AL,120969
10085,120968/AL,120968
10087,133744/AL,133744
10088,133446/AL,133446
10089,133446/AL,133446
10090,118034/AL,118034
10091,117427/AL,117427
10092,131074/AL,131074
10094,131062/AL,131062
10095,131069/AL,131069
10096,58001/AL,58001
10097,131076/AL,131076
10098,126793/AL,126793
10099,133752/AL,133752
10100,127577/AL,127577
10101,131065/AL,131065
10102,126410/AL,126410
10103,80881/AL,80881
10104,131809/AL,131809
10105,127919/AL,127919
10107,121276/AL,121276
10109,87498/AL,87498
10110,129639/AL,129639
10111,129642/AL,129642
10112,129645/AL,129645
10113,118034/AL,118034
10114,127083/AL,127083
10115,118034/AL,118034
10116,129650/AL,129650
10117,131073/AL,131073
10118,129655/AL,129655
10119,129659/AL,129659
10120,129369/AL,129369
10122,126398/AL,126398
10123,57816/AL,57816
10124,79883/AL,79883
10125,81809/AL,81809
10126,130980/AL,130980
10127,103725,103725
10128,124390/AL,124390
10129,87541/AL,87541
10130,nan,
10131,nan,
10132,Exempt,
10134,130279/AL,130279
10135,nan,
10136,57817/AL,57817
10139,129993/AL,129993
10140,129115/AL,129115
10142,130005/AL,130005
10143,129983/AL,129983
10144,130002/AL,130002
10145,129119/AL,129119
10146,125192/AL,125192
10147,117006/AL,117006
10148,104655/AL,104655
10149,117006/AL,117006
10150,117006/AL,117006
10151,120676/AL,120676
10152,117006/AL,117006
10153,120669/AL,120669
10154,nan,
10155,Exempt,
10156,117006/AL,117006
10157,118141/AL,118141
10158,126393/AL,126393
10159,Exempt,
10160,128735/AL,128735
10161,Exempt,
10162,130767/AL,130767
10163,Exempt,
10164,Exempt,
10165,19424/AL,19424
10166,Exempt,
10167,129513/AL,129513
10168,130198/AL,130198
10169,129904/AL,129904
10170,Exempt,
10171,97890,97890
10172,120675/AL,120675
10173,12066/AL,12066
10174,46812/AL,46812
10175,131829/AL,131829
10176,60251/AL,60251
10177,127999/AL,127999
10178,130275/AL,130275
10179,Exempt,
10180,128789/AL,128789
10181,130183/AL,130183
10182,127213/AL,127213
10183,130186/AL,130186
10184,55201/AL,55201
10185,130190/AL,130190
10186,103014/AL,103014
10187,Exempt,
10188,37001/AL,37001
10189,131289/AL,131289
10190,126410/AL,126410
10191,Exempt,
10192,126414/AL,126414
10193,84912/AL,84912
10194,119627/AL,119627
10195,nan,
10196,127595/AL,127595
10197,126005/AL,126005
10198,nan,
10200,127346/AL,127346
10203,120671/AL,120671
10204,131606/AL,131606
10205,129679/AL,129679
10206,120967/AL,120967
10209,125729/AL,125729
10210,Exempt,
10211,120722/AL,120722
10212,nan,
10213,nan,
10215,130890/AL,130890
10216,Exempt,
10217,128371/AL,128371
10220,108287/AL,108287
10224,72466/AL,72466
10225,129899/AL,129899
10227,60972/AL,60972
10228,116926/AL,116926
10229,110926/AL,110926
10230,129873/AL,129873
10232,128811/AL,128811
10233,129899/AL,129899
10234,130180/AL,130180
10236,130200/AL,130200
10237,130176/AL,130176
10238,130195/AL,130195
10239,130206/AL,130206
10240,129875/AL,129875
10241,129988/AL,129988
10242,133746/AL,133746
10243,106301/AL,106301
10244,89286/AL,89286
10245,125369/AL,125369
10246,125366/AL,125366
10247,Exempt,
10248,133350/AL,133350
10249,126934/AL,126934
10254,124414/AL,124414
10255,126940/AL,126940
10257,126944/AL,126944
10258,126952/AL,126952
10260,126949/AL,126949
10261,126955/AL,126955
10263,126197/AL,126197
10268,102583/AL,102583
10271,Exempt,
10273,nan,
10274,128000/AL,128000
10275,129132/AL,129132
10276,130130/AL,130130
10277,131845/AL,131845
10278,129098/AL,129098
10280,129104/AL,129104
10281,nan,
10282,nan,
10284,129108/AL,129108
10286,131869/AL,131869
10288,129899/AL,129899
10289,62973/AL,62973
10290,nan,
10291,101190/AL,101190
10294,122588/AL,122588
10295,126928/AL,126928
10296,122588/AL,122588
10297,130971/AL,130971
10298,105125/AL,105125
10299,108287/AL,108287
10300,129658/AL,129658
10301,128511/AL,128511
10302,105127/AL,105127
10305,131440/AL,131440
10309,129899/AL,129899
10310,129899/AL,129899
10312,1301351,1301351
10314,129662/AL,129662
10317,129662/AL,129662
10318,129662/AL,129662
10319,59191/AL,59191
10320,59196/AL,59196
10321,103269/AL,103269
10323,130421/AL,130421
10327,38539/AL,38539
10328,69229/AL,69229
10329,128677/AL,128677
10330,69229/AL,69229
10331,131758,131758
10332,130274/AL,130274
10334,32473/AL,32473
10335,126844/AL,126844
10337,48658/AL,48658
10338,128512/AL,128512
10339,98266/AL,98266
10340,nan,
10341,130283/AL,130283
10342,nan,
10343,nan,
10344,130263/AL,130263
10345,Exempt,
10346,130265/AL,130265
10347,130273/AL,130273
10348,129971/AL,129971
10349,130276/AL,130276
10350,130985/AL,130985
10351,127859/AL,127859
10352,127654/AL,127654
10353,126667/AL,126667
10354,130280/AL,130280
10355,nan,
10356,129341/AL,129341
10358,nan,
10359,129784/AL,129784
10360,132394/AL,132394
10361,129781/AL,129781
10363,132339/AL,132339
10364,121820/AL,121820
10365,129502/AL,129502
10366,128147/AL,128147
10367,129349/AL,129349
10368,128468/AL,128468
10369,129662/AL,129662
10370,12345/AL,12345
10371,55689,55689
10372,131765/AL,131765
10373,nan,
10374,129509/AL,129509
10375,nan,
10376,128452/AL,128452
10377,131693/AL,131693
10378,128084/AL,128084
10379,Exempt,
10381,129504/AL,129504
10383,129507/AL,129507
10385,12345/AL,12345
10387,131464/AL,131464
10388,62508/AL,62508
10390,106963/AL,106963
10392,130968/AL,130968
10394,130622/AL,130622
10395,55535/AL,55535
10396,130194/AL,130194
10398,129280/AL,129280
10400,55201/AL,55201
10401,130882/AL,130882
10402,21568/AL,21568
10404,132337/AL,132337
10405,130961/AL,130961
10407,119149/AL,119149
10408,nan,
10409,12345/AL,12345
10410,55201/AL,55201
10411,129376/AL,129376
10414,130958/AL,130958
10415,130979/AL,130979
10416,132890/AL,132890
10417,38700/AL,38700
10418,127487/AL,127487
10419,126660/AL,126660
10420,50639/AL,50639
10421,nan,
10422,nan,
10423,59614/AL,59614
10424,94009/AL,94009
10425,213345/AL,213345
10429,55952/AL,55952
10430,120011/AL,120011
10431,Exempt,
10432,130952/AL,130952
10433,Exempt,
10434,129498/AL,129498
10435,113049/AL,113049
10437,131578/AL,131578
10438,123712/AL,123712
10439,123122/AL,123122
10441,12345/AL,12345
10442,129127/AL,129127
10443,131513/AL,131513
10444,127502/AL,127502
10445,120006/AL,120006
10446,133083/AL,133083
10447,101609/AL,101609
10448,120010/AL,120010
10449,109989/AL,109989
10450,108885/AL,108885
10452,132331/AL,132331
10453,40755/AL,40755
10454,53773/AL,53773
10455,Exempt,
10456,nan,
10457,109184/AL,109184
10458,Exempt,
10459,Exempt,
10460,114212/AL,114212
10462,127080/AL,127080
10463,nan,
10464,131271/AL,131271
10467,115225/AL,115225
10469,115225/AL,115225
10472,131409/AL,131409
10473,115225/AL,115225
10474,115225/AL,115225
10475,nan,
10476,12345/AL,12345
10477,131274/AL,131274
10478,128079/AL,128079
10479,128090/AL,128090
10480,170822/AL,170822
10481,126666/AL,126666
10482,128363/AL,128363
10484,124239/AL,124239
10485,52657/AL,52657
10489,127203/AL,127203
10490,nan,
10491,101421/AL,101421
10492,134052/AL,134052
10493,53781/AL,53781
10494,nan,
10495,1386791,1386791
10496,Exempt,
10497,95628/AL,95628
10498,134127/AL,134127
10500,97423/AL,97423
10501,Exempt,
10504,131297/AL,131297
10506,49311/AL,49311
10508,131596/AL,131596
10509,131380/AL,131380
10510,106963/AL,106963
10512,106963/AL,106963
10513,131604/AL,131604
10515,53499/AL,53499
10516,132390/AL,132390
10517,131444/AL,131444
10518,29498/AL,29498
10519,131577/AL,131577
10520,nan,
10521,nan,
10522,133357/AL,133357
10523,130285/AL,130285
10524,130251/AL,130251
10525,Exempt,
10526,131987/AL,131987
10527,130254/AL,130254
10529,130257/AL,130257
10531,Exempt,
10532,130259/AL,130259
10533,130266/AL,130266
10535,Exempt,
10536,nan,
10537,131841/AL,131841
10538,130210/AL,130210
10539,132308/AL,132308
10540,114535,114535
10541,130878/AL,130878
10543,131469/AL,131469
10544,131096/AL,131096
10545,129651/AL,129651
10546,133391/AL,133391
10547,125276/AL,125276
10548,131867/AL,131867
10549,131608/AL,131608
10550,129666/AL,129666
10551,132122/AL,132122
10552,nan,
10553,129671/AL,129671
10554,129676/AL,129676
10555,129866/AL,129866
10556,132660/AL,132660
10557,82618/AL,82618
10558,106305/AL,106305
10559,130959/AL,130959
10560,nan,
10564,55201/AL,55201
10565,129972/AL,129972
10568,132379/AL,132379
10569,133437/AL,133437
10570,130486/AL,130486
10571,129967/AL,129967
10572,107311/AL,107311
10573,nan,
10575,130396/AL,130396
10577,96947/AL,96947
10578,Exempt,
10579,131263/AL,131263
10580,125208/AL,125208
10582,132126/AL,132126
10584,103958/AL,103958
10585,nan,
10586,130278/AL,130278
10587,114535,114535
10588,119744/AL,119744
10590,120863/AL,120863
10591,120863/AL,120863
10592,132007/AL,132007
10593,120863/AL,120863
10594,132211/AL,132211
10595,120863/AL,120863
10596,126923/AL,126923
10597,1420078,1420078
10599,120969/AL,120969
10602,Exempt,
10603,120664/AL,120664
10604,120968/AL,120968
10605,120971/AL,120971
10606,106293/AL,106293
10607,132253,132253
10608,128445/AL,128445
10609,132403,132403
10610,101204/AL,101204
10613,132512/AL,132512
10615,131809/AL,131809
10616,nan,
10617,nan,
10618,131455/AL,131455
10619,nan,
10621,131593/AL,131593
10623,121812/AL,121812
10626,7201/AL,7201
10627,133250/AL,133250
10629,132756/AL,132756
10630,131829/AL,131829
10631,132943/AL,132943
10632,131832/AL,131832
10634,131835/AL,131835
10635,131961/AL,131961
10637,131847/AL,131847
10638,129782/AL,129782
10639,115315/AL,115315
10640,5481/AL,5481
10641,nan,
10642,126670/AL,126670
10643,131961/AL,131961
10644,129975/AL,129975
10645,131452/AL,131452
10649,819901/AL,819901
10651,128441/AL,128441
10652,129021/AL,129021
10653,132273/AL,132273
10655,131610/AL,131610
10656,125273/AL,125273
10657,123889/AL,123889
10658,133421/AL,133421
10659,123885/AL,123885
10660,123889/AL,123889
10662,131844/AL,131844
10663,131840/AL,131840
10664,131964/AL,131964
10665,131857/AL,131857
10666,122448/AL,122448
10667,131829/AL,131829
10668,133534/AL,133534
10669,131853/AL,131853
10670,128680/AL,128680
10671,131829/AL,131829
10672,131829/AL,131829
10673,125447/AL,125447
10674,131702/AL,131702
10676,126524/AL,126524
10678,131829/AL,131829
10679,131829/AL,131829
10680,131829/AL,131829
10682,115931/AL,115931
10683,125448/AL,125448
10684,129783/AL,129783
10685,129783/AL,129783
10686,129783/AL,129783
10687,110207/AL,110207
10689,129783/AL,129783
10690,132685/AL,132685
10691,160922/AL,160922
10692,133355/AL,133355
10694,130115/AL,130115
10695,Exempt,
10696,020922/AL,020922
10698,127676/AL,127676
10701,112969/AL,112969
10702,128072/AL,128072
10704,112969/AL,112969
10705,112969/AL,112969
10706,129636/AL,129636
10708,112969/AL,112969
10709,nan,
10710,112969/AL,112969
10711,112969/AL,112969
10712,112969/AL,112969
10713,112969/AL,112969
10714,nan,
10716,129636/AL,129636
10718,Exempt,
10719,nan,
10723,133385/AL,133385
10724,8790,8790
10726,132475/AL,132475
10727,132195/AL,132195
10728,126775/AL,126775
10729,132116/AL,132116
10730,15625/AL,15625
10731,45050/AL,45050
10732,133239/AL,133239
10733,133092/AL,133092
10734,133236/AL,133236
10735,8790,8790
10736,131981/AL,131981
10737,15621/AL,15621
10738,133093/AL,133093
10739,15622/AL,15622
10740,8790,8790
10741,133339/AL,133339
10742,55201/AL,55201
10743,93770/AL,93770
10744,Exempt,
10745,18033/AL,18033
10746,132757/AL,132757
10748,Exempt,
10750,655888/AL,655888
10751,Exempt,
10753,129783/AL,129783
10754,79714/AL,79714
10755,115930/AL,115930
10756,132328/AL,132328
10757,92256/AL,92256
10759,1416104,1416104
10760,115929/AL,115929
10761,131601/AL,131601
10762,115928/AL,115928
10763,123619/AL,123619
10764,115926/AL,115926
10767,115925/AL,115925
10768,15557/AL,15557
10769,115924/AL,115924
10770,133629/AL,133629
10771,115923/AL,115923
10772,105838/AL,105838
10774,115926/AL,115926
10775,132341/AL,132341
10776,79476/AL,79476
10777,79484/AL,79484
10778,51357/AL,51357
10779,37777/AL,37777
10780,79473/AL,79473
10781,79480/AL,79480
10782,37881/AL,37881
10783,78867/AL,78867
10784,79463/AL,79463
10785,79471/AL,79471
10786,78867/AL,78867
10787,37883/AL,37883
10788,78866/AL,78866
10789,129783/AL,129783
10790,131711/AL,131711
10792,135457/AL,135457
10793,131865/AL,131865
10795,103447/al,103447
10796,129128/AL,129128
10797,Exempt,
10798,132374/AL,132374
10799,128055/AL,128055
10800,134696/AL,134696
10802,129501/AL,129501
10804,132582/AL,132582
10806,90123/AL,90123
10807,80995/AL,80995
10808,56853/AL,56853
10809,132663/AL,132663
10810,nan,
10811,132213/AL,132213
10812,95745/AL,95745
10813,132213/AL,132213
10818,129371/AL,129371
10819,48318/AL,48318
10820,132691/AL,132691
10821,103844/AL,103844
10822,134049/AL,134049
10823,133372/AL,133372
10824,131447/AL,131447
10825,132692/AL,132692
10826,nan,
10827,132309/AL,132309
10830,28835/AL,28835
10831,46525/AL,46525
10832,131850/AL,131850
10833,38316/AL,38316
10834,131858/AL,131858
10835,131861/AL,131861
10836,38316/AL,38316
10838,131151/AL,131151
10840,nan,
10841,73010/AL,73010
10842,nan,
10844,101787/AL,101787
10845,nan,
10846,nan,
10847,123903/AL,123903
10848,nan,
10849,81083/AL,81083
10850,132538/AL,132538
10851,75641/AL,75641
10852,129858/AL,129858
10853,127670/AL,127670
10855,129989/AL,129989
10856,120745/AL,120745
10857,Exempt,
10858,132577/AL,132577
10859,133251/AL,133251
10860,Exempt,
10862,75641/AL,75641
10863,63253/AL,63253
10864,129501/AL,129501
10865,113817/AL,113817
10866,131586/AL,131586
10867,129506/AL,129506
10868,121061/AL,121061
10869,129506/AL,129506
10870,122588/AL,122588
10871,129506/AL,129506
10872,132095/AL,132095
10873,131942/AL,131942
10875,131951/AL,131951
10876,131945/AL,131945
10877,131953/AL,131953
10878,65645/AL,65645
10879,111928/AL,111928
10880,132505/AL,132505
10881,131750/AL,131750
10882,105339/AL,105339
10883,130311/AL,130311
10885,132936,132936
10887,134694/AL,134694
10890,133242/AL,133242
10891,31950/AL,31950
10892,99283/AL,99283
10895,Exempt,
10896,40679/AL,40679
10897,23970/AL,23970
10898,23970/AL,23970
10899,23970/AL,23970
10900,128376/AL,128376
10901,23970/AL,23970
10902,93124/AL,93124
10903,129500/AL,129500
10905,75641/AL,75641
10906,93124/AL,93124
10907,221450470,221450470
10908,129515/AL,129515
10909,133848/AL,133848
10910,130885/AL,130885
10911,38316/AL,38316
10912,73010/AL,73010
10913,69857/AL,69857
10914,132218/AL,132218
10915,115611/AL,115611
10917,127652/AL,127652
10918,135118/AL,135118
10920,55336/AL,55336
10921,55336/AL,55336
10923,131987/AL,131987
10925,132957/AL,132957
10926,nan,
10927,nan,
10929,36047/AL,36047
10930,129501/AL,129501
10931,120485/AL,120485
10932,121634/AL,121634
10933,59927/AL,59927
10934,134041/AL,134041
10935,132662/AL,132662
10936,126273/AL,126273
10938,Exempt,
10939,132592/AL,132592
10940,131762/AL,131762
10943,127692/AL,127692
10944,131959/AL,131959
10945,101174/AL,101174
10946,115319/AL,115319
10947,132185/AL,132185
10948,126656/AL,126656
10950,133420/AL,133420
10951,133506/AL,133506
10952,133518/AL,133518
10953,122804/AL,122804
10954,120842/AL,120842
10955,120745/AL,120745
10956,131460/AL,131460
10957,133313/AL,133313
10958,67091/AL,67091
10959,55201/AL,55201
10960,7057/AL,7057
10961,7057/AL,7057
10962,132511/AL,132511
10963,133399/AL,133399
10964,133379/AL,133379
10965,81442/AL,81442
10966,133306/AL,133306
10969,133366/AL,133366
10970,93124/AL,93124
10971,135510/AL,135510
10972,120842/AL,120842
10976,122103/AL,122103
10977,133449/AL,133449
10978,122217/AL,122217
10979,133832/AL,133832
10980,132344/AL,132344
10981,136722/AL,136722
10983,76807/AL,76807
10984,123450/AL,123450
10985,Exempt,
10986,130270/AL,130270
10987,nan,
10988,nan,
10989,121673/AL,121673
10990,132388/AL,132388
10993,133363/Al,133363
10994,134044/Al,134044
10995,93125/AL,93125
10996,131753/Al,131753
10997,133672/AL,133672
10998,133977/AL,133977
10999,Exempt,
11000,127494/AL,127494
11001,133382/AL,133382
11004,105755/AL,105755
11005,133489/AL,133489
11006,133507/AL,133507
11007,127918/AL,127918
11008,133501/AL,133501
11009,133495/AL,133495
11010,131576/AL,131576
11011,115132/AL,115132
11013,127918/AL,127918
11015,101223/AL,101223
11016,127918/AL,127918
11017,127918/AL,127918
11018,127918/AL,127918
11019,127918/AL,127918
11020,133434/AL,133434
11021,133971/AL,133971
11023,128203/AL,128203
11024,140044/AL,140044
11025,130269/AL,130269
11026,Exempt,
11027,Exempt,
11028,133376/AL,133376
11029,93124/AL,93124
11030,77530/AL,77530
11032,37815/AL,37815
11034,nan,
11035,74093/AL,74093
11036,48760/AL,48760
11038,124411/AL,124411
11040,58537/AL,58537
11042,131965/AL,131965
11043,41183/AL,41183
11046,18033/AL,18033
11047,132002/AL,132002
11048,120325/AL,120325
11049,14829/AL,14829
11051,134053/AL,134053
11053,120319/AL,120319
11054,93125/AL,93125
11055,134061/AL,134061
11056,121189/AL,121189
11057,5987/AL,5987
11060,127595/AL,127595
11061,59236/AL,59236
11063,115806/AL,115806
11064,131447/AL,131447
11065,110361/AL,110361
11066,133360/AL,133360
11067,66490/AL,66490
11068,37749/AL,37749
11069,110366/AL,110366
11071,Exempt,
11072,133478/AL,133478
11073,nan,
11074,133497/AL,133497
11075,nan,
11076,133514/AL,133514
11077,129131/AL,129131
11078,130628/AL,130628
11080,127285/AL,127285
11081,110367/AL,110367
11082,103583/AL,103583
11084,nan,
11086,110363/AL,110363
11087,2094/AL,2094
11088,133321/AL,133321
11089,nan,
11090,130972/AL,130972
11091,130991/AL,130991
11093,130982/AL,130982
11094,102591/AL,102591
11095,130987/AL,130987
11096,130994/AL,130994
11097,6049/AL,6049
11098,130976/AL,130976
11099,93124/AL,93124
11100,118835/AL,118835
11101,Exempt,
11102,118835/AL,118835
11103,51296/AL,51296
11104,51351/AL,51351
11105,78760/AL,78760
11106,118835/AL,118835
11107,120324/AL,120324
11108,118835/AL,118835
11109,118135/AL,118135
11111,118136/AL,118136
11112,133017/AL,133017
11113,118137/AL,118137
11114,87292/AL,87292
11115,118139/AL,118139
11116,132571/AL,132571
11117,133837/AL,133837
11118,118140/AL,118140
11119,120613/AL,120613
11120,37164/AL,37164
11121,37166/AL,37166
11122,37159/AL,37159
11123,118132/AL,118132
11124,15624/AL,15624
11125,118133/AL,118133
11126,125187/AL,125187
11127,133909/AL,133909
11128,118134/AL,118134
11129,18033/AL,18033
11131,51629/AL,51629
11132,55119/AL,55119
11133,82824/AL,82824
11134,132593/AL,132593
11135,120320/AL,120320
11137,127281/AL,127281
11138,132593/AL,132593
11139,Exempt,
11140,133915/AL,133915
11141,132593/AL,132593
11142,Exempt,
11143,132593/AL,132593
11144,82831/AL,82831
11145,132593/AL,132593
11146,133837/AL,133837
11147,133166/AL,133166
11148,82836/AL,82836
11150,133837/AL,133837
11151,55125/AL,55125
11152,133837/AL,133837
11153,38315/AL,38315
11154,133328/AL,133328
11155,133341/AL,133341
11156,106137/AL,106137
11157,133340/AL,133340
11158,8743103,8743103
11159,58175/AL,58175
11160,133166/AL,133166
11162,133166/AL,133166
11164,85613/AL,85613
11165,nan,
11168,133240/AL,133240
11169,120745/AL,120745
11172,112926/AL,112926
11173,142196/AL,142196
11174,134274/AL,134274
11175,125897/AL,125897
11176,Exempt,
11177,121069/AL,121069
11179,133390/AL,133390
11182,133505/AL,133505
11183,133848/AL,133848
11184,132220/Al,132220
11185,120321/AL,120321
11186,133848/AL,133848
11189,113787/AL,113787
11192,134038/AL,134038
11193,Exempt,
11194,49052,49052
11195,6641/AL,6641
11196,47438/AL,47438
11197,67091/AL,67091
11198,120315/AL,120315
11199,80891/AL,80891
11201,133446/AL,133446
11202,109067/AL,109067
11203,120323/AL,120323
11204,2101/AL,2101
11205,2103/AL,2103
11207,78057/AL,78057
11208,133399,133399
11210,120323/AL,120323
11212,54585/AL,54585
11213,133842/AL,133842
11214,133842/AL,133842
11216,133842/AL,133842
11218,117739/AL,117739
11219,133842/AL,133842
11220,133842/AL,133842
11221,129336/AL,129336
11223,132200/AL,132200
11224,134270/AL,134270
11225,132204/AL,132204
11226,132934/AL,132934
11227,106140/AL,106140
11228,127501/AL,127501
11229,132934/AL,132934
11231,Exempt,
11232,119372/AL,119372
11233,nan,
11235,133401/AL,133401
11236,134346/AL,134346
11240,6641/AL,6641
11241,133348/AL,133348
11242,6641/AL,6641
11243,6641/AL,6641
11247,132934/AL,132934
11248,128513/AL,128513
11250,133937/AL,133937
11252,74558/AL,74558
11253,123903/AL,123903
11255,290721/AL,290721
11256,Exempt,
11258,nan,
11259,133399/AL,133399
11260,132564/AL,132564
11261,74558/AL,74558
11262,133189/AL,133189
11265,133374/AL,133374
11266,133581/AL,133581
11267,63073/AL,63073
11268,133426/AL,133426
11271,133278/AL,133278
11272,134491/AL,134491
11275,Exempt,
11276,132569/AL,132569
11277,133337/AL,133337
11278,Exempt,
11279,80924/AL,80924
11280,Exempt,
11283,133604/AL,133604
11284,134019/AL,134019
11285,126933/AL,126933
11286,125545/AL,125545
11287,Exempt,
11288,Exempt,
11289,Exempt,
11290,Exempt,
11291,Exempt,
11292,Exempt,
11293,132996/AL,132996
11294,111133/AL,111133
11295,132118/AL,132118
11297,133399/AL,133399
11298,100365/AL,100365
11300,133349/AL,133349
11301,33594/AL,33594
11302,61022/AL,61022
11304,133317/AL,133317
11305,137996/AL,137996
11306,nan,
11307,15557/AL,15557
11309,133285/AL,133285
11310,128513/AL,128513
11311,133427/AL,133427
11312,128513,128513
11313,128513,128513
11314,128513,128513
11315,nan,
11316,128513,128513
11317,128513,128513
11318,128513,128513
11319,128513,128513
11321,nan,
11322,nan,
11323,135758/AL,135758
11324,nan,
11326,nan,
11327,132945/AL,132945
11329,122553/AL,122553
11330,131512/AL,131512
11331,133428/AL,133428
11334,Exempt,
11335,130629/AL,130629
11336,Exempt,
11337,41004/AL,41004
11338,nan,
11339,Exempt,
11341,104924/AL,104924
11342,133567/AL,133567
11343,81723/AL,81723
11346,133531/AL,133531
11347,Exempt,
11349,Exempt,
11350,nan,
11351,Exempt,
11352,133931/AL,133931
11353,Exempt,
11354,133369/AL,133369
11355,119408/AL,119408
11356,132099/AL,132099
11357,133689/AL,133689
11358,132075/AL,132075
11360,123713/AL,123713
11362,132078/AL,132078
11363,135186/AL,135186
11364,132081/AL,132081
11365,132893/AL,132893
11366,52165/AL,52165
11367,nan,
11368,129511/AL,129511
11369,44958/AL,44958
11370,nan,
11371,517004461,517004461
11372,128055/AL,128055
11373,131594/AL,131594
11374,44941/AL,44941
11376,120233/AL,120233
11378,133988/AL,133988
11379,118463/AL,118463
11381,128436/AL,128436
11382,77568/AL,77568
11383,133399/AL,133399
11384,134902/AL,134902
11385,77198/AL,77198
11386,77190/AL,77190
11387,131078/AL,131078
11389,72773/AL,72773
11392,1100,1100
11394,1100,1100
11395,1100,1100
11399,144975/AL,144975
11401,nan,
11403,133857/AL,133857
11404,132941/AL,132941
11405,133854/AL,133854
11406,133766/AL,133766
11407,101369/AL,101369
11409,121156/AL,121156
11410,131608/AL,131608
11411,44927/AL,44927
11412,204765/AL,204765
11413,124601/AL,124601
11415,113995/AL,113995
11418,2095/AL,2095
11419,202218/AL,202218
11420,61523/AL,61523
11421,61523/AL,61523
11422,61523/AL,61523
11423,133826/AL,133826
11424,122935/AL,122935
11425,105758/AL,105758
11426,Exempt,
11428,44940/AL,44940
11429,91077/AL,91077
11432,50045/AL,50045
11433,105440,105440
11435,125058/AL,125058
11436,9706,9706
11437,134080/AL,134080
11438,2094/AL,2094
11439,117165/AL,117165
11440,2094/AL,2094
11441,10530,10530
11443,10530,10530
11445,133411/AL,133411
11446,102323/AL,102323
11447,134039/AL,134039
11448,10530,10530
11449,10530,10530
11450,143046/AL,143046
11452,131282/AL,131282
11453,97515/AL,97515
11454,132661/AL,132661
11455,97515/AL,97515
11456,101846/AL,101846
11457,92475/AL,92475
11458,Exempt,
11459,97515/AL,97515
11460,97515/AL,97515
11461,97515/AL,97515
11462,97515/AL,97515
11464,133227/AL,133227
11465,101863/AL,101863
11466,nan,
11467,97515/AL,97515
11468,131689/AL,131689
11469,101863/AL,101863
11470,44950/AL,44950
11472,101863/AL,101863
11473,131689/AL,131689
11474,101863/AL,101863
11475,131689/AL,131689
11476,116327/AL,116327
11477,101863/AL,101863
11478,97515/AL,97515
11479,101863/AL,101863
11480,97515/AL,97515
11481,97515/AL,97515
11482,97515/AL,97515
11483,97515/AL,97515
11486,135459/AL,135459
11487,25995/AL,25995
11488,54030/AL,54030
11489,123941/AL,123941
11490,115849,115849
11491,133116/AL,133116
11492,96321/AL,96321
11494,96323/AL,96323
11496,96324/AL,96324
