id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26064509,Porto Sunny House #2 - city center,53350496,Xana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.152958,-8.614033,Entire home/apt,59,1,40,2022-12-09,0.73,3,339,23,75022/AL
26067266,Quarto de casal em casa espetacular!!,78350239,Celso,PORTO,Paranhos,41.16937,-8.60868,Private room,25,3,2,2021-09-11,0.12,5,13,0,Exempt
25826542,CM VINTAGE Apartments 1,49819978,Oporto Guest,PORTO,Bonfim,41.15118,-8.60429,Entire home/apt,53,2,10,2022-11-08,0.18,22,361,4,72843/AL
25827191,CM VINTAGE Apartments 2,49819978,Oporto Guest,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15068,-8.60648,Entire home/apt,53,2,10,2022-11-16,0.18,22,359,5,72845/AL
26075367,Casa da Madorninha Quarto # 4,66451295,Carmo,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.17917,-8.65365,Private room,23,2,109,2022-02-10,2.00,5,0,1,48199/AL
26213151,Porto Vintage by Bolhão Downtown | 1 Bedroom Home,185001879,Sofia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14994,-8.60411,Entire home/apt,39,2,85,2022-12-09,1.56,6,67,10,72869/AL
25832394,Downtown Colosseum Apartments - Barcas,194096600,Maria Joana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14705,-8.60457,Entire home/apt,200,1,18,2022-06-07,0.33,7,11,1,73597/AL
26216146,TORRINHA's cutest flat- w/ terrace & parking space,75288223,Luís,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15359,-8.62333,Entire home/apt,65,2,8,2018-09-02,0.15,1,0,0,79546/AL
26096003,Mostarda Boutique Apartment,60341267,Rui E Alexandra,VILA DO CONDE,Vila do Conde,41.34628,-8.75185,Entire home/apt,132,5,3,2022-10-17,0.06,1,288,1,76043/AL
25832595,CM VINTAGE Apartments 3,49819978,Oporto Guest,PORTO,Bonfim,41.15118,-8.60429,Entire home/apt,43,2,11,2022-11-14,0.20,22,355,4,72848/AL
26230685,Firmeza105 Apartment,171177892,Paula,PORTO,Bonfim,41.15121,-8.60304,Entire home/apt,50,2,9,2019-07-14,0.17,3,0,0,75730/AL
25835772,Charm in C - Porto Center Apartment,194120215,Cátia E Hélvio,PORTO,Bonfim,41.15117,-8.5944,Entire home/apt,100,2,5,2018-11-04,0.09,2,13,0,72334/AL
26230782,Casa do terraço,197125677,Margarida,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16468,-8.61888,Entire home/apt,53,2,26,2019-10-27,0.53,1,0,0,83775/AL
26096693,Cozy Stay - Tiara I Apartment,78618025,Helena,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14808,-8.60289,Entire home/apt,75,3,2,2018-08-01,0.04,3,0,0,64149/AL
26097329,Cozy Stay - Tiara II Apartment,78618025,Helena,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14861,-8.60247,Entire home/apt,85,2,1,2018-08-13,0.02,3,0,0,64153/AL
25838990,Cozy Studio Soares dos Reis,93797077,Jorge,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12209,-8.61083,Entire home/apt,35,2,14,2020-03-02,0.26,1,0,0,74057/AL
26099080,Quinta de Bouças - Passadiços do Paiva,196170399,Maria Emilia,AROUCA,Alvarenga,40.98186966936006,-8.188212128055225,Entire home/apt,200,2,0,,,1,363,0,10167
26232410,Oporto Royal Apartment,10135465,Andre,PORTO,Bonfim,41.146034,-8.59962,Entire home/apt,103,1,78,2022-10-14,1.45,6,360,24,61528/AL
26242887,OHH - Deluxe Campanhã Flat,197232077,Bruna E Philippe,PORTO,Campanhã,41.14998,-8.58533,Entire home/apt,85,2,77,2022-09-12,1.44,2,362,22,76338/AL
25843328,Casa do Campo - Country house,194175960,Filomena,PAREDES,Aguiar de Sousa,41.09629,-8.42987,Entire home/apt,53,1,50,2022-08-27,0.94,1,312,12,Exempt
26244006,PORTO ALEGRE 2 #3 Quartos#3 Varandas,2437605,Porto Alegre,PORTO,Lordelo do Ouro e Massarelos,41.15302,-8.63164,Entire home/apt,105,2,130,2022-10-29,2.42,3,288,40,75806/AL
26246456,Porto Almada Garden-Jardim Privado-SibeliPortoApt,148796540,Sibeli,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15186,-8.61119,Entire home/apt,130,3,31,2022-10-15,0.57,2,245,10,56649/AL
26102133,Douro Virtudes terrace,193654119,Florinda,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1423,-8.6186,Entire home/apt,78,2,75,2022-10-25,1.40,8,345,20,72695/AL
